#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-03-17T02:04:37
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx26924	
#INFO	-out.max=50000	

#RESOURCE=yCat_16490759
#Name: J/ApJ/649/759
#Title: The bubbling galactic disk (Churchwell+, 2006)
#Coosys	G:	galactic
#Table	J_ApJ_649_759_bubbles:
#Name: J/ApJ/649/759/bubbles
#Title: Bubble parameters {\em(tables 2 and 3 of paper)}
#Column	_RAJ2000	(F7.3)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F7.3)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	[CPA2006]	(A4)	Catalog number (Nnnn or Snnn)	[ucd=meta.id;meta.main]
#Column	GLON	(F7.3)	Galactic longitude of bubble center	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.3)	Galactic latitude of bubble center	[ucd=pos.galactic.lat]
#Column	Rin	(F5.2)	Semimajor axis of inner ellipse	[ucd=phys.angSize;src]
#Column	rin	(F5.2)	Semiminor axis of inner ellipse	[ucd=phys.angSize.sminAxis]
#Column	Rout	(F5.2)	Semimajor axis of outer ellipse	[ucd=phys.angSize;src]
#Column	rout	(F5.2)	Semiminor axis of outer ellipse	[ucd=phys.angSize.sminAxis]
#Column	Ecc	(F5.2)	Eccentricity of the ellipse (1)	[ucd=src.orbital.eccentricity]
#Column	<R>	(F5.2)	Average radius of bubble	[ucd=phys.angSize;stat.mean]
#Column	<T>	(F5.2)	Average thickness of bubble	[ucd=src.morph.param]
#Column	MFlags	(a12)	Morphology flags (2)	[ucd=src.morph.param]
_RAJ2000;_DEJ2000;[CPA2006];GLON;GLAT;Rin;rin;Rout;rout;Ecc;<R>;<T>;MFlags
241.618;-50.778;S61 ;331.327;+1.017; 3.73; 2.60; 4.99; 3.48; 0.72; 3.64; 1.05;C,CC,MB
243.094;-51.798;S62 ;331.316;-0.359; 1.99; 1.62; 2.50; 2.03; 0.58; 2.02; 0.45;B
242.424;-51.657;S63 ;331.108;+0.027; 1.11; 0.97; 1.37; 1.19; 0.50; 1.16; 0.24;B
242.508;-51.858;S64 ;331.010;-0.156; 2.53; 2.42; 3.31; 3.16; 0.29; 2.86; 0.76;B
242.572;-52.227;S65 ;330.789;-0.454; 0.56; 0.34; 0.75; 0.45; 0.80; 0.51; 0.14;C,m(S66)
242.519;-52.203;S66 ;330.781;-0.414; 5.81; 4.20; 7.42; 5.37; 0.69; 5.63; 1.37;B,CC,MB
242.364;-52.256;S67 ;330.675;-0.389; 0.99; 0.65; 1.38; 0.91; 0.76; 0.96; 0.32;C,CC,m(S66)
241.090;-52.439;S68 ;329.975;-0.003; 1.02; 0.74; 1.45; 1.05; 0.69; 1.05; 0.36;B
241.227;-53.011;S69 ;329.657;-0.486; 1.07; 1.06; 1.48; 1.46; 0.15; 1.27; 0.41;C,CC
240.103;-52.816;S70 ;329.276;+0.108; 1.04; 0.81; 1.39; 1.08; 0.63; 1.07; 0.31;B
238.688;-53.808;S71 ;327.990;-0.103; 1.03; 0.82; 1.37; 1.09; 0.60; 1.07; 0.30;C,CC
237.601;-53.469;S72 ;327.705;+0.567; 1.73; 1.10; 2.31; 1.48; 0.77; 1.61; 0.47;B
238.882;-54.629;S73 ;327.552;-0.807; 3.71; 2.26; 5.16; 3.14; 0.79; 3.46; 1.13;B,CC,MB
238.891;-54.678;S74 ;327.525;-0.848; 1.37; 0.98; 1.78; 1.28; 0.70; 1.33; 0.35;C,m(S73)
237.740;-54.470;S75 ;327.141;-0.264; 0.43; 0.41; 0.59; 0.56; 0.28; 0.50; 0.15;C
237.188;-54.416;S76 ;326.924;-0.021; 4.55; 4.16; 5.77; 5.28; 0.40; 4.94; 1.17;B
238.355;-55.257;S77 ;326.918;-1.098; 1.24; 0.81; 1.68; 1.09; 0.76; 1.18; 0.36;B,CC
237.569;-54.918;S78 ;326.783;-0.551; 2.82; 1.98; 3.44; 2.41; 0.71; 2.62; 0.52;C
236.321;-54.134;S79 ;326.700;+0.513; 2.69; 1.84; 3.45; 2.36; 0.73; 2.54; 0.63;C,CC
234.663;-55.669;S80 ;325.014;-0.137; 5.81; 4.30; 7.59; 5.62; 0.67; 5.76; 1.53;C
234.312;-56.029;S81 ;324.642;-0.311; 1.20; 0.88; 1.58; 1.17; 0.67; 1.19; 0.33;B
233.989;-56.779;S82 ;324.057;-0.813; 4.41; 3.79; 5.94; 5.10; 0.51; 4.80; 1.42;C
232.956;-56.117;S83 ;323.975;+0.057; 0.42; 0.34; 0.56; 0.45; 0.59; 0.44; 0.13;C
232.894;-56.172;S84 ;323.915;+0.032; 0.33; 0.23; 0.50; 0.35; 0.70; 0.35; 0.14;C
232.734;-56.243;S85 ;323.802;+0.025; 1.48; 1.26; 1.93; 1.65; 0.52; 1.58; 0.42;B,CC
232.731;-56.703;S86 ;323.538;-0.352; 0.82; 0.79; 1.21; 1.17; 0.26; 1.00; 0.39;C
230.464;-56.862;S87 ;322.418;+0.207; 0.30; 0.15; 0.44; 0.23; 0.85; 0.26; 0.10;C
229.550;-57.472;S88 ;321.672;-0.041; 0.46; 0.41; 0.63; 0.56; 0.46; 0.51; 0.16;B
229.383;-57.854;S89 ;321.394;-0.317; 0.90; 0.70; 1.16; 0.90; 0.63; 0.91; 0.23;C,CC
228.765;-58.174;S90 ;320.947;-0.417; 0.30; 0.24; 0.46; 0.36; 0.62; 0.34; 0.14;B
228.631;-58.223;S91 ;320.861;-0.422; 2.31; 1.77; 2.91; 2.23; 0.64; 2.29; 0.53;B
227.566;-57.832;S92 ;320.578;+0.203; 6.18; 5.08; 7.90; 6.49; 0.57; 6.38; 1.55;B
227.293;-57.861;S93 ;320.438;+0.251; 2.47; 1.94; 3.18; 2.50; 0.62; 2.50; 0.63;C
227.292;-58.279;S94 ;320.227;-0.110; 2.01; 1.31; 2.43; 1.58; 0.76; 1.79; 0.34;B
227.483;-58.494;S95 ;320.205;-0.346; 0.49; 0.42; 0.72; 0.62; 0.50; 0.56; 0.21;B
226.344;-57.527;S96 ;320.164;+0.793; 1.35; 1.11; 1.80; 1.49; 0.56; 1.43; 0.41;C
225.925;-57.687;S97 ;319.890;+0.763; 1.51; 1.05; 2.14; 1.50; 0.72; 1.52; 0.53;B,CC,BP
225.875;-57.651;S98 ;319.884;+0.808; 0.82; 0.62; 1.28; 0.97; 0.65; 0.91; 0.40;C,CC,BP
225.308;-58.476;S99 ;319.224;+0.229; 2.32; 1.71; 3.00; 2.21; 0.68; 2.28; 0.58;B
225.705;-59.017;S100;319.145;-0.345; 3.52; 2.50; 4.75; 3.37; 0.70; 3.48; 1.04;C,CC,MB
225.752;-59.082;S101;319.135;-0.413; 0.62; 0.49; 0.88; 0.70; 0.61; 0.67; 0.24;C,m(S100)
223.603;-59.293;S102;318.064;-0.083; 0.24; 0.19; 0.38; 0.30; 0.62; 0.27; 0.12;C
223.962;-59.793;S103;317.997;-0.611; 3.21; 2.82; 4.49; 3.95; 0.48; 3.61; 1.20;C
224.073;-59.920;S104;317.988;-0.749; 1.71; 1.13; 2.55; 1.68; 0.75; 1.73; 0.68;C
223.755;-60.026;S105;317.798;-0.770; 0.25; 0.21; 0.37; 0.31; 0.56; 0.28; 0.11;B
222.776;-59.799;S106;317.462;-0.347; 1.68; 1.65; 2.02; 1.98; 0.19; 1.83; 0.34;B,CC
221.941;-59.504;S107;317.212;+0.103; 0.25; 0.21; 0.42; 0.35; 0.57; 0.31; 0.15;B
221.385;-59.719;S108;316.866;+0.030; 2.84; 2.59; 4.04; 3.68; 0.41; 3.28; 1.14;C
221.399;-59.860;S109;316.812;-0.101; 1.51; 0.96; 2.32; 1.47; 0.77; 1.52; 0.64;C,TP
221.334;-59.798;S110;316.809;-0.031; 1.41; 1.09; 1.82; 1.41; 0.63; 1.42; 0.36;C,TP
221.299;-59.847;S111;316.772;-0.068; 1.37; 0.98; 1.83; 1.31; 0.70; 1.35; 0.39;C,CC,TP
220.753;-59.492;S112;316.671;+0.370; 0.24; 0.17; 0.42; 0.29; 0.72; 0.27; 0.15;C
220.827;-59.878;S113;316.544;+0.004; 1.41; 1.15; 1.98; 1.61; 0.58; 1.53; 0.51;B
221.305;-60.434;S114;316.526;-0.601; 1.28; 1.09; 1.81; 1.54; 0.52; 1.43; 0.49;B,CC
219.947;-60.280;S115;315.979;-0.182; 0.83; 0.83; 1.06; 1.06; 0.00; 0.94; 0.23;C,CC
216.157;-60.339;S116;314.219;+0.474; 5.10; 3.00; 5.81; 3.41; 0.81; 4.18; 0.54;C,CC
216.245;-60.466;S117;314.215;+0.340; 1.04; 0.69; 1.50; 1.00; 0.74; 1.04; 0.38;C,CC
216.236;-60.537;S118;314.186;+0.275; 2.12; 1.72; 2.58; 2.09; 0.59; 2.12; 0.41;B
215.935;-60.741;S119;313.976;+0.136; 0.61; 0.58; 0.77; 0.74; 0.29; 0.67; 0.16;B,CS
215.618;-60.802;S120;313.810;+0.133; 2.01; 1.62; 2.49; 2.00; 0.59; 2.02; 0.42;C
215.190;-60.274;S121;313.792;+0.701; 1.14; 0.85; 1.52; 1.14; 0.67; 1.15; 0.33;C,CC
214.864;-60.939;S122;313.418;+0.128; 7.03; 4.41; 8.69; 5.45; 0.78; 6.22; 1.31;C
214.379;-61.615;S123;312.975;-0.433; 2.16; 1.94; 2.75; 2.46; 0.45; 2.32; 0.55;C,CC
214.211;-61.650;S124;312.888;-0.440; 0.81; 0.45; 1.38; 0.77; 0.83; 0.82; 0.43;C
213.615;-61.206;S125;312.760;+0.072; 0.77; 0.51; 1.02; 0.68; 0.75; 0.73; 0.21;B
213.544;-61.277;S126;312.705;+0.015; 1.04; 0.97; 1.50; 1.40; 0.36; 1.23; 0.45;B,CC
213.615;-61.403;S127;312.698;-0.115; 1.90; 1.42; 2.38; 1.78; 0.67; 1.85; 0.41;B,BP
213.463;-61.256;S128;312.675;+0.047; 1.40; 1.28; 1.78; 1.63; 0.40; 1.52; 0.37;C,CC,BP
213.181;-61.286;S129;312.537;+0.061; 0.32; 0.18; 0.50; 0.28; 0.83; 0.30; 0.13;B
212.650;-61.760;S130;312.151;-0.313; 0.40; 0.34; 0.57; 0.49; 0.51; 0.45; 0.16;B
211.394;-61.968;S131;311.524;-0.339; 1.37; 0.94; 1.87; 1.28; 0.73; 1.34; 0.41;SNR
210.893;-61.251;S132;311.495;+0.416; 0.13; 0.13; 0.24; 0.23; 0.27; 0.18; 0.10;C,m(S133)
210.889;-61.273;S133;311.487;+0.395; 1.86; 1.64; 2.45; 2.17; 0.47; 2.03; 0.56;C,MB
210.901;-61.305;S134;311.484;+0.363; 0.57; 0.47; 0.74; 0.61; 0.55; 0.60; 0.15;B,CC,m(S133)
210.858;-61.269;S135;311.474;+0.403; 0.33; 0.24; 0.46; 0.33; 0.70; 0.34; 0.11;B,m(S133)
210.095;-61.011;S136;311.189;+0.751; 0.66; 0.42; 0.89; 0.57; 0.77; 0.62; 0.19;C
209.861;-61.394;S137;310.980;+0.411; 2.98; 2.38; 4.00; 3.20; 0.60; 3.12; 0.91;C,CC
210.145;-62.157;S138;310.909;-0.361; 0.78; 0.72; 1.29; 1.18; 0.40; 0.99; 0.49;B
209.892;-61.804;S139;310.887;+0.011; 0.35; 0.29; 0.45; 0.38; 0.53; 0.37; 0.10;C
209.691;-62.306;S140;310.666;-0.449; 0.88; 0.72; 1.13; 0.92; 0.58; 0.91; 0.22;B
207.485;-62.836;S141;309.552;-0.719; 1.48; 1.13; 1.86; 1.42; 0.65; 1.46; 0.33;C,Fl
207.015;-62.526;S142;309.410;-0.369; 1.83; 1.39; 2.29; 1.74; 0.65; 1.80; 0.40;B
206.017;-62.073;S143;309.052;+0.172; 5.09; 3.57; 6.08; 4.27; 0.71; 4.68; 0.83;C,CC
205.229;-61.763;S144;308.749;+0.549; 0.79; 0.74; 0.99; 0.93; 0.34; 0.86; 0.19;B,CC,m(S145)
205.115;-61.694;S145;308.709;+0.627; 5.77; 4.78; 6.93; 5.73; 0.56; 5.78; 1.05;B,CC,MB
203.602;-62.948;S146;307.795;-0.483; 0.32; 0.24; 0.47; 0.35; 0.66; 0.34; 0.13;C
201.102;-62.364;S147;306.745;+0.263; 1.95; 1.48; 2.63; 1.99; 0.65; 1.99; 0.59;C
198.681;-62.238;S148;305.640;+0.511; 0.56; 0.53; 0.74; 0.70; 0.34; 0.63; 0.17;C
198.591;-62.745;S149;305.553;+0.010; 0.37; 0.33; 0.58; 0.51; 0.48; 0.45; 0.20;B,CC
198.481;-62.401;S150;305.533;+0.357; 1.08; 0.76; 1.43; 1.01; 0.71; 1.06; 0.29;C,CC
198.385;-62.994;S151;305.438;-0.230; 0.26; 0.20; 0.44; 0.33; 0.66; 0.31; 0.15;C
198.272;-63.013;S152;305.385;-0.244; 1.39; 1.00; 1.71; 1.23; 0.69; 1.31; 0.27;C,CC,Fl
198.122;-62.576;S153;305.353;+0.197; 0.29; 0.17; 0.46; 0.26; 0.82; 0.28; 0.13;C
198.065;-62.712;S154;305.316;+0.063; 0.37; 0.29; 0.60; 0.47; 0.63; 0.43; 0.21;B
197.961;-62.781;S155;305.263;-0.002; 0.38; 0.36; 0.58; 0.55; 0.33; 0.47; 0.19;C,CC
197.924;-62.566;S156;305.263;+0.214; 1.63; 1.62; 2.16; 2.15; 0.13; 1.89; 0.53;C,CC
197.715;-62.922;S157;305.140;-0.134; 1.06; 1.05; 1.36; 1.35; 0.11; 1.21; 0.30;C
196.758;-63.676;S158;304.660;-0.857; 6.56; 6.09; 8.76; 8.13; 0.37; 7.38; 2.12;C,MB
196.498;-63.667;S159;304.545;-0.841; 0.31; 0.30; 0.50; 0.48; 0.33; 0.40; 0.19;C,m(S158)
196.218;-62.850;S160;304.464;-0.018; 0.60; 0.60; 0.81; 0.81; 0.00; 0.71; 0.22;B,BP
196.177;-62.856;S161;304.445;-0.023; 0.55; 0.37; 0.94; 0.63; 0.74; 0.61; 0.32;C,BP
195.211;-62.404;S162;304.021;+0.448; 0.94; 0.68; 1.31; 0.95; 0.69; 0.96; 0.32;C
195.047;-63.587;S163;303.905;-0.732; 3.65; 2.14; 5.07; 2.97; 0.81; 3.34; 1.09;B,MB
194.966;-63.641;S164;303.867;-0.785; 1.04; 0.83; 1.28; 1.03; 0.60; 1.04; 0.22;B,m(S163)
193.779;-63.588;S165;303.341;-0.719; 0.52; 0.40; 0.75; 0.58; 0.64; 0.56; 0.20;C
190.844;-62.969;S166;302.016;-0.112; 0.59; 0.52; 0.81; 0.72; 0.47; 0.66; 0.21;C
189.961;-63.189;S167;301.625;-0.347; 5.82; 5.34; 7.30; 6.69; 0.40; 6.28; 1.42;C
189.857;-62.539;S168;301.548;+0.300; 1.21; 0.88; 1.78; 1.29; 0.69; 1.27; 0.48;C
188.875;-62.968;S169;301.122;-0.152; 2.95; 2.78; 4.06; 3.82; 0.34; 3.40; 1.07;B
188.141;-63.098;S170;300.799;-0.304; 1.21; 1.00; 1.62; 1.34; 0.56; 1.29; 0.37;B
187.343;-62.945;S171;300.426;-0.181; 0.40; 0.33; 0.58; 0.48; 0.57; 0.44; 0.16;B
186.100;-63.088;S172;299.878;-0.377; 1.48; 1.00; 1.83; 1.24; 0.74; 1.36; 0.29;C
185.898;-62.987;S173;299.776;-0.286; 0.67; 0.38; 0.89; 0.50; 0.83; 0.59; 0.16;B
185.789;-62.685;S174;299.694;+0.009; 2.73; 2.36; 3.38; 2.92; 0.50; 2.84; 0.60;C
184.816;-62.930;S175;299.281;-0.287; 1.96; 1.83; 2.52; 2.35; 0.36; 2.16; 0.54;C
183.955;-63.282;S176;298.941;-0.687; 1.23; 0.93; 1.94; 1.46; 0.66; 1.38; 0.62;C
183.572;-63.006;S177;298.731;-0.438; 0.56; 0.47; 0.77; 0.64; 0.55; 0.61; 0.19;B
182.787;-63.264;S178;298.419;-0.746; 1.50; 1.00; 1.90; 1.26; 0.75; 1.38; 0.33;B,MB
182.846;-63.051;S179;298.412;-0.531; 0.80; 0.70; 1.03; 0.89; 0.50; 0.85; 0.21;B
182.773;-63.253;S180;298.411;-0.736; 0.12; 0.11; 0.18; 0.17; 0.38; 0.14; 0.06;C,CS,m(S178)
182.483;-62.806;S181;298.210;-0.315; 1.49; 1.17; 1.87; 1.47; 0.62; 1.49; 0.33;C
182.464;-62.708;S182;298.186;-0.220; 0.93; 0.74; 1.13; 0.89; 0.61; 0.92; 0.17;B
181.008;-63.368;S183;297.649;-0.984; 0.70; 0.62; 0.91; 0.81; 0.46; 0.76; 0.20;C,BP
181.012;-63.343;S184;297.646;-0.959; 0.98; 0.65; 1.23; 0.81; 0.75; 0.90; 0.20;C,BP
178.650;-63.139;S185;296.563;-0.972; 1.41; 0.89; 1.83; 1.15; 0.78; 1.29; 0.33;C
175.960;-62.521;S186;295.223;-0.665; 5.36; 4.36; 6.93; 5.64; 0.58; 5.54; 1.42;B
176.321;-61.751;S187;295.189;+0.122; 0.65; 0.52; 0.96; 0.77; 0.60; 0.72; 0.28;C
175.614;-62.374;S188;295.030;-0.565; 4.48; 3.29; 5.76; 4.23; 0.68; 4.39; 1.10;B

